RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Tony Pollard,1,12,91.0,7.6,46.0,3.8,45,3.8,2,0,0.0,30,3,2,1,0,0,30,2,3,0,2,2.0,15.0,7.5,0.0,0.0,22.6
2,Christian McCaffrey,1,17,66.0,3.9,50.0,2.9,16,0.9,0,2,-6.0,0,1,1,1,0,0,30,8,10,2,0,0.0,80.0,10.0,1.0,0.0,20.6
3,Josh Jacobs,1,26,144.0,5.5,73.0,2.8,71,2.7,12,0,0.0,20,3,1,0,0,0,20,2,2,0,0,1.0,6.0,3.0,0.0,1.0,19.0
4,Cam Akers,1,17,60.0,3.5,24.0,1.4,36,2.1,0,2,-2.0,6,1,0,0,0,0,13,1,1,0,0,2.0,0.0,0.0,0.0,0.0,18.0
5,AJ Dillon,1,18,93.0,5.2,74.0,4.1,19,1.1,1,0,0.0,21,2,1,0,0,0,21,3,3,0,10,1.0,26.0,8.7,0.0,0.0,17.9
6,D'Andre Swift,1,14,62.0,4.4,55.0,3.9,7,0.5,0,1,-1.0,1,1,0,0,0,0,10,4,6,1,0,1.0,49.0,12.3,0.0,0.0,17.1
7,Samaje Perine,1,21,106.0,5.0,55.0,2.6,51,2.4,2,1,-5.0,0,2,0,0,0,0,10,6,7,1,19,0.0,49.0,8.2,0.0,0.0,15.5
8,Ezekiel Elliott,1,17,77.0,4.5,39.0,2.3,38,2.2,1,1,-1.0,4,2,1,0,0,0,22,3,3,0,2,1.0,14.0,4.7,0.0,0.0,15.1
9,Dalvin Cook,1,20,86.0,4.3,76.0,3.8,10,0.5,0,2,-4.0,4,2,1,0,0,0,21,2,3,0,0,1.0,-3.0,-1.5,0.0,0.0,14.3
10,Isiah Pacheco,1,14,66.0,4.7,37.0,2.6,29,2.1,1,0,0.0,8,1,0,0,0,0,16,2,2,0,2,1.0,16.0,8.0,0.0,0.0,14.2
11,Saquon Barkley,1,18,63.0,3.5,43.0,2.4,20,1.1,0,4,-11.0,13,2,1,0,0,0,21,5,5,0,5,1.0,18.0,3.6,0.0,0.0,14.1
12,David Montgomery,1,14,61.0,4.4,44.0,3.1,17,1.2,1,1,-5.0,7,0,0,0,0,0,9,4,5,0,0,1.0,6.0,1.5,0.0,0.0,12.7
13,Jerick McKinnon,1,8,51.0,6.4,30.0,3.8,21,2.6,0,1,-1.0,0,2,0,0,0,0,14,2,2,1,2,0.0,9.0,4.5,1.0,0.0,12.0
14,Zonovan Knight,1,15,90.0,6.0,77.0,5.1,13,0.9,0,1,-2.0,0,1,1,1,1,0,48,5,5,2,7,0.0,28.0,5.6,0.0,0.0,11.8
15,Brian Robinson Jr.,1,21,96.0,4.6,74.0,3.5,22,1.0,1,1,-3.0,0,3,0,0,0,0,16,2,2,0,5,0.0,15.0,7.5,0.0,0.0,11.1
16,Devin Singletary,1,13,51.0,3.9,31.0,2.4,20,1.5,0,2,-3.0,1,1,0,0,0,0,11,0,2,0,0,1.0,0.0,0.0,0.0,0.0,11.1
17,Rachaad White,1,9,28.0,3.1,16.0,1.8,12,1.3,0,0,0.0,0,0,0,0,0,0,6,6,8,1,9,0.0,41.0,6.8,1.0,1.0,10.9
18,James Cook,1,14,64.0,4.6,34.0,2.4,30,2.1,1,0,0.0,0,1,1,0,0,0,28,6,6,0,5,0.0,41.0,6.8,0.0,0.0,10.5
19,Jonathan Taylor,1,21,82.0,3.9,13.0,0.6,69,3.3,6,3,-6.0,0,2,0,0,0,0,19,3,4,1,6,0.0,21.0,7.0,0.0,0.0,10.3
20,Miles Sanders,1,10,24.0,2.4,11.0,1.1,13,1.3,0,1,-2.0,3,0,0,0,0,0,5,2,2,0,0,1.0,14.0,7.0,0.0,0.0,9.8
21,Jamaal Williams,1,11,35.0,3.2,30.0,2.7,5,0.5,0,0,0.0,1,1,0,0,0,0,12,0,0,0,0,1.0,0.0,0.0,0.0,0.0,9.5
22,Dameon Pierce,1,18,73.0,4.1,38.0,2.1,35,1.9,3,1,-2.0,0,1,0,0,0,0,11,3,3,0,12,0.0,22.0,7.3,0.0,0.0,9.5
23,Najee Harris,1,17,86.0,5.1,43.0,2.5,43,2.5,4,1,-1.0,0,2,0,0,0,0,14,1,1,0,7,0.0,6.0,6.0,0.0,0.0,9.2
24,Malik Davis,1,3,29.0,9.7,24.0,8.0,5,1.7,0,0,0.0,23,1,1,0,0,0,23,0,0,0,0,1.0,0.0,0.0,0.0,0.0,8.9
25,Austin Ekeler,1,10,35.0,3.5,23.0,2.3,12,1.2,0,1,-1.0,0,0,0,0,0,0,8,5,6,1,4,0.0,67.0,13.4,0.0,1.0,8.2
26,Leonard Fournette,1,10,49.0,4.9,30.0,3.0,19,1.9,0,1,-1.0,0,1,0,0,0,0,10,6,7,2,13,0.0,32.0,5.3,0.0,0.0,8.1
