RANK,PLAYER,GAMES,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/ATT,RUSHING_YBCON,RUSHING_YBCON/ATT,RUSHING_YACON,RUSHING_YACON/ATT,RUSHING_BRKTKL,RUSHING_TK_LOSS,RUSHING_TK_LOSS_YDS,RUSHING_LNG_TD,BIG_RUSH_PLAYS_10+_YDS,BIG_RUSH_PLAYS_20+_YDS,BIG_RUSH_PLAYS_30+_YDS,BIG_RUSH_PLAYS_40+_YDS,BIG_RUSH_PLAYS_50+_YDS,BIG_RUSH_PLAYS_LNG,RECEIVING_REC,RECEIVING_TGT,RECEIVING_RZ_TGT,RECEIVING_YACON,RUSHING_TD,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_FPTS
1,Aaron Jones Sr.,1,9,41.0,4.6,25.0,2.8,16,1.8,2,1,-1.0,1,0,0,0,0,0,9,2,4,1,2,1.0,86.0,43.0,1.0,0.0,24.7
2,Christian McCaffrey,1,22,152.0,6.9,45.0,2.0,107,4.9,1,4,-5.0,65,4,1,1,1,1,65,3,5,0,3,1.0,17.0,5.7,0.0,0.0,22.9
3,Austin Ekeler,1,16,117.0,7.3,61.0,3.8,56,3.5,2,1,-1.0,1,2,1,1,1,1,55,4,5,1,0,1.0,47.0,11.8,0.0,0.0,22.4
4,Tyler Allgeier,1,15,75.0,5.0,17.0,1.1,58,3.9,6,1,-2.0,3,3,1,0,0,0,22,3,3,0,3,2.0,19.0,6.3,0.0,0.0,21.4
5,Tony Pollard,1,14,70.0,5.0,43.0,3.1,27,1.9,0,1,-2.0,2,2,1,0,0,0,25,2,3,1,1,2.0,12.0,6.0,0.0,0.0,20.2
6,Kyren Williams,1,15,52.0,3.5,33.0,2.2,19,1.3,0,1,-1.0,7,0,0,0,0,0,9,0,2,1,0,2.0,2.0,0.0,0.0,0.0,17.4
7,Travis Etienne Jr.,1,18,77.0,4.3,33.0,1.8,44,2.4,5,3,-5.0,26,1,1,0,0,0,26,5,5,0,9,1.0,27.0,5.4,0.0,0.0,16.4
8,Joshua Kelley,1,16,91.0,5.7,64.0,4.0,27,1.7,3,0,0.0,2,3,0,0,0,0,14,0,1,0,0,1.0,0.0,0.0,0.0,0.0,15.1
9,Breece Hall,1,10,127.0,12.7,29.0,2.9,98,9.8,1,1,-4.0,0,2,2,1,1,1,83,1,2,0,6,0.0,20.0,20.0,0.0,0.0,14.7
10,Bijan Robinson,1,10,56.0,5.6,30.0,3.0,26,2.6,1,1,-4.0,0,2,1,0,0,0,21,6,6,2,23,0.0,27.0,4.5,1.0,0.0,14.3
11,David Montgomery,1,21,74.0,3.5,51.0,2.4,23,1.1,1,1,-1.0,8,0,0,0,0,0,8,0,0,0,0,1.0,0.0,0.0,0.0,0.0,13.4
12,Justice Hill,1,8,9.0,1.1,4.0,0.5,5,0.6,2,1,-4.0,2,0,0,0,0,0,4,0,0,0,0,2.0,0.0,0.0,0.0,0.0,12.9
13,Nick Chubb,1,18,106.0,5.9,69.0,3.8,37,2.1,1,0,0.0,0,5,0,0,0,0,17,4,4,0,6,0.0,21.0,5.3,0.0,0.0,12.7
14,Brian Robinson Jr.,1,19,59.0,3.1,54.0,2.8,5,0.3,1,2,-4.0,0,0,0,0,0,0,7,1,2,1,0,0.0,7.0,7.0,1.0,0.0,12.6
