,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Miles Sanders,1,17,144.0,8.5,113,6.6,31,1.8,1,0,0.0,40,5,2,1,1,0,40,1,3,0,4
2,Christian McCaffrey,1,14,119.0,8.5,84,6.0,35,2.5,0,2,-2.0,38,5,2,1,0,0,38,2,3,0,0
3,Jerick McKinnon,1,6,22.0,3.7,18,3.0,4,0.7,1,0,0.0,0,0,0,0,0,0,7,7,9,1,1
4,Tony Pollard,1,10,42.0,4.2,19,1.9,23,2.3,1,2,-5.0,11,3,0,0,0,0,18,4,5,2,6
5,J.K. Dobbins,1,15,120.0,8.0,90,6.0,30,2.0,3,0,0.0,4,3,1,1,1,0,44,0,0,0,0
6,Derrick Henry,1,17,121.0,7.1,63,3.7,58,3.4,2,1,-1.0,3,3,2,1,1,1,50,3,5,1,1
7,Josh Jacobs,1,27,99.0,3.7,38,1.4,61,2.3,0,1,-5.0,1,2,0,0,0,0,15,2,2,0,4
8,James Conner,1,15,85.0,5.7,30,2.0,55,3.7,1,0,0.0,10,2,1,0,0,0,23,6,7,0,11
9,Austin Ekeler,1,15,45.0,3.0,10,0.7,35,2.3,0,2,-2.0,1,3,0,0,0,0,12,8,8,3,23
10,Chuba Hubbard,1,14,74.0,5.3,41,2.9,33,2.4,2,0,0.0,2,3,0,0,0,0,12,3,3,0,0
11,Pierre Strong Jr.,1,5,70.0,14.0,58,11.6,12,2.4,0,0,0.0,3,2,1,1,1,0,44,2,2,0,2
12,Ezekiel Elliott,1,15,62.0,4.1,20,1.3,42,2.8,1,1,-1.0,2,1,1,0,0,0,25,3,5,0,0
13,Marlon Mack,1,3,15.0,5.0,13,4.3,2,0.7,0,0,0.0,0,0,0,0,0,0,6,2,3,0,30
14,Zonovan Knight,1,17,71.0,4.2,47,2.8,24,1.4,0,2,-3.0,13,4,0,0,0,0,13,2,2,0,6
15,Dameon Pierce,1,22,78.0,3.5,36,1.6,42,1.9,1,1,-1.0,1,1,1,0,0,0,24,0,0,0,0
16,Najee Harris,1,12,33.0,2.8,21,1.8,12,1.0,0,0,0.0,1,0,0,0,0,0,8,2,3,1,0
17,Raheem Blackshear,1,4,32.0,8.0,11,2.8,21,5.3,0,0,0.0,8,1,0,0,0,0,16,1,1,0,0
18,Joe Mixon,1,14,96.0,6.9,30,2.1,66,4.7,0,1,-3.0,0,3,1,1,1,0,40,2,2,0,4
