,,GAMES,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,BIG RUSH PLAYS,RECEIVING,RECEIVING,RECEIVING,RECEIVING
RANK,PLAYER,G,ATT,YDS,Y/ATT,YBCON,YBCON/ATT,YACON,YACON/ATT,BRKTKL,TK LOSS,TK LOSS YDS,LNG TD,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,REC,TGT,RZ TGT,YACON
1,Josh Jacobs,1,33,229,6.9,161.0,4.9,68,2.1,0,2,-2.0,86,4,2,2,1,1,86,6,7,1,2
2,Miles Sanders,1,21,143,6.8,92.0,4.4,51,2.4,0,2,-3.0,15,4,2,0,0,0,28,3,3,0,5
3,Nick Chubb,1,26,116,4.5,80.0,3.1,36,1.4,2,4,-5.0,3,4,1,0,0,0,28,1,1,0,0
4,Brian Robinson Jr.,1,18,105,5.8,74.0,4.1,31,1.7,0,0,0.0,0,3,1,0,0,0,21,2,3,1,3
5,James Conner,1,25,120,4.8,85.0,3.4,35,1.4,1,2,-2.0,0,2,1,0,0,0,20,3,3,1,5
6,Kenneth Walker III,1,14,26,1.9,11.0,0.8,15,1.1,0,4,-22.0,14,2,0,0,0,0,14,1,1,0,0
7,Aaron Jones,1,12,43,3.6,25.0,2.1,18,1.5,0,1,-1.0,0,1,0,0,0,0,10,3,4,0,5
8,Jonathan Taylor,1,20,86,4.3,34.0,1.7,52,2.6,3,0,0.0,2,2,0,0,0,0,13,3,4,0,10
9,JaMycal Hasty,1,12,28,2.3,4.0,0.3,24,2.0,4,3,-6.0,0,1,0,0,0,0,13,5,5,1,14
10,Ezekiel Elliott,1,16,92,5.8,59.0,3.7,33,2.1,1,1,-3.0,6,4,1,0,0,0,22,1,1,1,0
11,Samaje Perine,1,17,58,3.4,36.0,2.1,22,1.3,1,2,-6.0,7,0,0,0,0,0,9,4,7,0,14
12,AJ Dillon,1,8,64,8.0,44.0,5.5,20,2.5,0,0,0.0,20,3,1,0,0,0,20,3,4,1,2
13,Isiah Pacheco,1,22,69,3.1,24.0,1.1,45,2.0,1,1,-1.0,3,0,0,0,0,0,9,1,1,0,2
14,Austin Ekeler,1,5,20,4.0,14.0,2.8,6,1.2,0,1,-2.0,0,0,0,0,0,0,9,11,15,4,4
15,Ty Johnson,1,5,62,12.4,16.0,3.2,46,9.2,5,0,0.0,32,2,1,1,0,0,32,1,2,0,0
16,Benny Snell Jr.,1,12,62,5.2,38.0,3.2,24,2.0,0,0,0.0,2,2,0,0,0,0,16,1,1,0,6
17,Derrick Henry,1,17,38,2.2,23.0,1.4,15,0.9,0,2,-3.0,0,0,0,0,0,0,9,3,3,0,1
18,Ameer Abdullah,1,3,16,5.3,11.0,3.7,5,1.7,0,0,0.0,0,0,0,0,0,0,7,3,3,1,2
19,D'Onta Foreman,1,24,113,4.7,51.0,2.1,62,2.6,3,1,-3.0,0,3,0,0,0,0,18,0,0,0,0
20,David Montgomery,1,14,79,5.6,41.0,2.9,38,2.7,6,1,-1.0,0,4,0,0,0,0,14,3,4,0,25
21,Travis Homer,1,2,8,4.0,7.0,3.5,1,0.5,0,0,0.0,0,0,0,0,0,0,4,2,3,1,4
22,Saquon Barkley,1,11,39,3.5,31.0,2.8,8,0.7,0,1,-2.0,1,1,0,0,0,0,10,4,6,0,1
